,cashModel,noCashModel,portfolio,S&P500,EW
2001,,,,,
2002,-0.009914658158532763,-0.009914658158532763,-0.009914658158532874,-0.21581487439673308,-0.17921772694214266
2003,0.2697129574294008,0.32012726695523086,0.2143086818553528,0.2818368313081896,0.2566415663739814
2004,0.14218432396756886,0.10154347860481594,0.1298576213706526,0.1069801797365506,0.1276058909983533
2005,0.10694547853100089,0.19030446423543346,0.20313458482782965,0.04826512455516041,0.07271275744796069
2006,0.24570281157092966,0.2617774288578565,0.2641697157485412,0.1583916825800975,0.14955511214430728
2007,0.0902805953464374,0.10375377739021285,0.09790807978700289,0.05146991482736518,0.09342365848671297
2008,-0.10631551971269848,-0.26130091062351646,-0.10631551971269892,-0.36791220276979364,-0.31930079652395793
2009,-0.006388830011574087,0.14836640613166074,0.15970783903166796,0.2634697533416017,0.25364677061257757
2010,0.059174334230257974,0.1164202594584356,0.24883152204796177,0.1505071436361649,0.14817796782743642
2011,0.039505427549822114,-0.03783663196111431,0.006873096521465394,0.018959143046734628,0.030500258816929637
2012,0.08231910724623104,0.15935884728181038,0.07070368278378769,0.15992185319564634,0.13224774980546639
2013,0.3314081524643653,0.3156652746552264,0.3156652746552264,0.32306705165223026,0.2747697272251146
2014,0.11704897234414546,0.16645026469463176,0.16645026469463176,0.13463870029097968,0.12002746405038556
2015,0.07420715308732873,0.096532677855657,0.09651052098612212,0.012395148795212751,-0.0073143001545764585
2016,0.13112980640454697,0.13108817985687526,0.11750358416277118,0.11995355955459375,0.1510223893861553
2017,0.20369084758000455,0.20571526370821758,0.2057152637082178,0.21703892187352758,0.166175046416408
2018,-0.04192824452545463,0.015406358881183468,-0.0028509906452703904,-0.04568685147901563,-0.05977051457763416
2019,0.3437237397302091,0.33454452980872906,0.29921980635673684,0.27519474196689386,0.22893500746798012
